time,lat,lon,precip_mm_day,year,month,days_in_month,precip_mm_month,departamento
2011-02-01,4.5,-75.5,3.846088698735234,2011,2,28,107.69048356458656,Quindío
2011-03-01,4.5,-75.5,5.108515962006484,2011,3,31,158.363994822201,Quindío
2011-04-01,4.5,-75.5,9.12321362066226,2011,4,30,273.6964086198678,Quindío
2011-05-01,4.5,-75.5,6.8013710068709115,2011,5,31,210.84250121299826,Quindío
2011-06-01,4.5,-75.5,2.384599187365768,2011,6,30,71.53797562097304,Quindío
2011-07-01,4.5,-75.5,3.2443536810740694,2011,7,31,100.57496411329615,Quindío
2011-08-01,4.5,-75.5,2.133351355698802,2011,8,31,66.13389202666286,Quindío
2011-09-01,4.5,-75.5,4.130173940143248,2011,9,30,123.90521820429743,Quindío
2011-10-01,4.5,-75.5,9.497180317496033,2011,10,31,294.41258984237703,Quindío
2011-11-01,4.5,-75.5,6.008067898097738,2011,11,30,180.24203694293215,Quindío
2011-12-01,4.5,-75.5,3.934743380955163,2011,12,31,121.97704480961005,Quindío
2012-01-01,4.5,-75.5,1.8185675358944335,2012,1,31,56.37559361272744,Quindío
2012-02-01,4.5,-75.5,1.4334725588188864,2012,2,29,41.5707042057477,Quindío
2012-03-01,4.5,-75.5,6.533103765743613,2012,3,31,202.526216738052,Quindío
2012-04-01,4.5,-75.5,6.945674995121811,2012,4,30,208.37024985365434,Quindío
2012-05-01,4.5,-75.5,4.481301967652002,2012,5,31,138.92036099721207,Quindío
2012-06-01,4.5,-75.5,1.596030283059933,2012,6,30,47.880908491797996,Quindío
2012-07-01,4.5,-75.5,1.8396042322976955,2012,7,31,57.02773120122856,Quindío
2012-08-01,4.5,-75.5,2.410845821572633,2012,8,31,74.73622046875163,Quindío
2012-09-01,4.5,-75.5,1.6900431878733027,2012,9,30,50.70129563619908,Quindío
2012-10-01,4.5,-75.5,5.707774808489098,2012,10,31,176.94101906316203,Quindío
2012-11-01,4.5,-75.5,3.4649807380431676,2012,11,30,103.94942214129503,Quindío
2012-12-01,4.5,-75.5,1.5614299267518292,2012,12,31,48.40432772930671,Quindío
2013-01-01,4.5,-75.5,0.26219246211259273,2013,1,31,8.127966325490375,Quindío
2013-02-01,4.5,-75.5,3.1953528001959377,2013,2,28,89.46987840548626,Quindío
2013-03-01,4.5,-75.5,4.251392495615354,2013,3,31,131.79316736407597,Quindío
2013-04-01,4.5,-75.5,4.971973454470447,2013,4,30,149.15920363411342,Quindío
2013-05-01,4.5,-75.5,6.922492576172788,2013,5,31,214.5972698613564,Quindío
2013-06-01,4.5,-75.5,2.540618425422068,2013,6,30,76.21855276266204,Quindío
2013-07-01,4.5,-75.5,2.446019680681684,2013,7,31,75.8266101011322,Quindío
2013-08-01,4.5,-75.5,2.9345823938380526,2013,8,31,90.97205420897963,Quindío
2013-09-01,4.5,-75.5,4.120032723075061,2013,9,30,123.60098169225184,Quindío
2013-10-01,4.5,-75.5,4.402730979867382,2013,10,31,136.48466037588884,Quindío
2013-11-01,4.5,-75.5,4.02399434849335,2013,11,30,120.7198304548005,Quindío
2013-12-01,4.5,-75.5,3.274816891959256,2013,12,31,101.51932365073694,Quindío
2014-01-01,4.5,-75.5,1.593245381255793,2014,1,31,49.390606818929584,Quindío
2014-02-01,4.5,-75.5,2.2933954469616564,2014,2,28,64.21507251492638,Quindío
2014-03-01,4.5,-75.5,3.303794537780174,2014,3,31,102.41763067118539,Quindío
2014-04-01,4.5,-75.5,5.681287141472403,2014,4,30,170.43861424417207,Quindío
2014-05-01,4.5,-75.5,7.1750197834106535,2014,5,31,222.42561328573026,Quindío
2014-06-01,4.5,-75.5,2.5909332396493903,2014,6,30,77.72799718948171,Quindío
2014-07-01,4.5,-75.5,1.24701870638639,2014,7,31,38.65757989797809,Quindío
2014-08-01,4.5,-75.5,1.2876208800166715,2014,8,31,39.916247280516814,Quindío
2014-09-01,4.5,-75.5,4.42237259355347,2014,9,30,132.67117780660408,Quindío
2014-10-01,4.5,-75.5,5.912184716063403,2014,10,31,183.2777261979655,Quindío
2014-11-01,4.5,-75.5,3.0742111318327883,2014,11,30,92.22633395498364,Quindío
2014-12-01,4.5,-75.5,2.68017516632256,2014,12,31,83.08543015599936,Quindío
2015-01-01,4.5,-75.5,1.4570218245532431,2015,1,31,45.167676561150536,Quindío
2015-02-01,4.5,-75.5,1.8028258958108907,2015,2,28,50.47912508270494,Quindío
2015-03-01,4.5,-75.5,4.541822136298706,2015,3,31,140.79648622525988,Quindío
2015-04-01,4.5,-75.5,6.657429888254008,2015,4,30,199.72289664762025,Quindío
2015-05-01,4.5,-75.5,1.8161266811815386,2015,5,31,56.2999271166277,Quindío
2015-06-01,4.5,-75.5,1.4700156122917225,2015,6,30,44.10046836875168,Quindío
2015-07-01,4.5,-75.5,1.4984714607621352,2015,7,31,46.452615283626194,Quindío
2015-08-01,4.5,-75.5,0.49774749402542107,2015,8,31,15.430172314788052,Quindío
2015-09-01,4.5,-75.5,2.1179516048566644,2015,9,30,63.538548145699934,Quindío
2015-10-01,4.5,-75.5,4.018689574245565,2015,10,31,124.57937680161251,Quindío
2015-11-01,4.5,-75.5,3.3834330133731196,2015,11,30,101.50299040119359,Quindío
2015-12-01,4.5,-75.5,0.542558705614762,2015,12,31,16.819319874057623,Quindío
2016-01-01,4.5,-75.5,0.7808968132684816,2016,1,31,24.20780121132293,Quindío
2016-02-01,4.5,-75.5,1.1235724943773728,2016,2,29,32.58360233694381,Quindío
2016-03-01,4.5,-75.5,2.44906092366925,2016,3,31,75.92088863374676,Quindío
2016-04-01,4.5,-75.5,5.6032507456820575,2016,4,30,168.09752237046172,Quindío
2016-05-01,4.5,-75.5,5.355906314137475,2016,5,31,166.03309573826172,Quindío
2016-06-01,4.5,-75.5,1.3663161076620618,2016,6,30,40.989483229861854,Quindío
2016-07-01,4.5,-75.5,2.897666722744946,2016,7,31,89.82766840509333,Quindío
2016-08-01,4.5,-75.5,1.0551822467113512,2016,8,31,32.710649648051884,Quindío
2016-09-01,4.5,-75.5,3.2378688853966087,2016,9,30,97.13606656189826,Quindío
2016-10-01,4.5,-75.5,6.425606964717176,2016,10,31,199.19381590623243,Quindío
2016-11-01,4.5,-75.5,6.592467719061682,2016,11,30,197.77403157185046,Quindío
2016-12-01,4.5,-75.5,3.620427718875834,2016,12,31,112.23325928515085,Quindío
2017-01-01,4.5,-75.5,1.965877776534565,2017,1,31,60.94221107257152,Quindío
2017-02-01,4.5,-75.5,0.5851764093621261,2017,2,28,16.38493946213953,Quindío
