c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo,c_digo_dane_departamento,c_digo_dane_municipio,grupo_cultivo,subgrupo,desagregaci_n_cultivo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
63,QUINDIO,63548,PIJAO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,3186,2644,2647,1.00,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63190,CIRCASIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,2339,1834,2110,1.15,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63001,ARMENIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,2220,1480,1703,1.15,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63272,FILANDIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,2136,1746,1808,1.04,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63212,CORDOBA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,1908,1615,1673,1.04,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63470,MONTENEGRO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,1432,984,1132,1.15,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63111,BUENAVISTA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,1170,907,835,0.92,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63690,SALENTO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,595,498,401,0.81,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63401,LA TEBAIDA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,584,345,437,1.27,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63130,CALARCA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,4373,3497,4081,1.17,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63302,GENOVA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,4373,3719,3785,1.02,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63594,QUIMBAYA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,3183,2179,3064,1.41,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63548,PIJAO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,3142,2678,2620,0.98,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63190,CIRCASIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,2246,1800,2097,1.16,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63001,ARMENIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,2188,1436,2097,1.46,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63272,FILANDIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,2079,1787,1914,1.07,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63212,CORDOBA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,1723,1478,1525,1.03,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63470,MONTENEGRO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,1404,1041,1354,1.30,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63111,BUENAVISTA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,1156,952,1076,1.13,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63401,LA TEBAIDA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,581,443,563,1.27,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63690,SALENTO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,577,482,518,1.07,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63302,GENOVA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,4283,3572,3760,1.05,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63130,CALARCA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,4003,3138,3788,1.21,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63594,QUIMBAYA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,3018,2025,2946,1.45,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63548,PIJAO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,2870,2398,2426,1.01,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
