departamento,municipio,año,area_cosechada_ha,produccion_t,rendimiento_kg_ha,anio
Narino,BUESACO,2012,2480.0,2976.0,1200.0,2012
Narino,SAMANIEGO,2012,2000.0,1500.0,750.0,2012
Narino,SAN PABLO,2012,220.0,264.0,1200.0,2012
Narino,EL ROSARIO,2012,1402.0,701.0,500.0,2012
Narino,CONSACA,2012,1629.0,1955.0,1200.0,2012
Narino,SANDONA,2012,1353.0,1028.0,760.0,2012
Narino,LA FLORIDA,2012,1214.0,1457.0,1200.0,2012
Narino,TAMINANGO,2012,1170.0,1170.0,1000.0,2012
Narino,LOS ANDES,2012,1004.0,402.0,400.0,2012
Narino,EL PEÑOL,2012,440.0,264.0,600.0,2012
Narino,EL TABLON,2012,725.0,725.0,1000.0,2012
Narino,SAN PEDRO DE CARTAGO,2012,31.0,37.0,1200.0,2012
Narino,ALBAN,2012,535.0,401.0,750.0,2012
Narino,LINARES,2012,538.0,482.0,900.0,2012
Narino,LEIVA,2012,635.0,762.0,1200.0,2012
Narino,CHACHAGUI,2012,467.0,467.0,1000.0,2012
Narino,EL TAMBO,2012,140.0,70.0,500.0,2012
Narino,POLICARPA,2012,170.0,128.0,750.0,2012
Narino,YACUANQUER,2012,207.0,248.0,1200.0,2012
Narino,PASTO,2012,224.0,269.0,1200.0,2012
Narino,SAN BERNARDO,2012,120.0,90.0,750.0,2012
Narino,SANTACRUZ,2012,179.0,54.0,300.0,2012
Narino,ANCUYA,2012,172.0,34.0,200.0,2012
Narino,CUMBITARA,2012,155.0,140.0,900.0,2012
Narino,FUNES,2012,75.0,75.0,1000.0,2012
Narino,LA CRUZ,2012,88.0,44.0,500.0,2012
Narino,LA LLANADA,2012,64.0,44.0,690.0,2012
Narino,MALLAMA,2012,66.0,66.0,1000.0,2012
Narino,GUAITARILLA,2012,41.0,16.0,380.0,2012
Narino,BELEN,2012,35.0,18.0,500.0,2012
Narino,TANGUA,2012,35.0,35.0,1000.0,2012
Narino,PROVIDENCIA,2012,33.0,26.0,800.0,2012
Narino,IPIALES,2012,23.0,28.0,1200.0,2012
Narino,CUMBAL,2012,12.0,7.0,600.0,2012
Narino,TUQUERRES,2012,8.0,4.0,500.0,2012
Narino,NARIÑO,2012,4.0,4.0,1000.0,2012
Narino,IMUES,2012,8.0,9.0,1100.0,2012
Narino,RICAURTE,2012,3.0,2.0,750.0,2012
Narino,LA UNION,2013,4339.0,4309.0,990.0,2013
Narino,SAN LORENZO,2013,2965.0,3398.0,1150.0,2013
Narino,BUESACO,2013,2276.0,2086.0,920.0,2013
Narino,COLON,2013,2061.0,2204.0,1070.0,2013
Narino,CONSACA,2013,1550.0,1421.0,920.0,2013
Narino,ALBAN,2013,1570.0,1560.0,990.0,2013
Narino,TAMINANGO,2013,1549.0,947.0,610.0,2013
Narino,ARBOLEDA,2013,1564.0,956.0,610.0,2013
Narino,EL TABLON,2013,1468.0,1122.0,760.0,2013
Narino,SANDONA,2013,1534.0,1172.0,760.0,2013
Narino,EL TAMBO,2013,1427.0,1091.0,760.0,2013
Narino,SAMANIEGO,2013,1330.0,914.0,690.0,2013
Narino,LA FLORIDA,2013,1160.0,1241.0,1070.0,2013
Narino,SAN PABLO,2013,929.0,852.0,920.0,2013
Narino,LOS ANDES,2013,841.0,642.0,760.0,2013
Narino,SAN PEDRO DE CARTAGO,2013,822.0,628.0,760.0,2013
Narino,LEIVA,2013,729.0,811.0,1110.0,2013
Narino,EL ROSARIO,2013,744.0,739.0,990.0,2013
Narino,LINARES,2013,692.0,475.0,690.0,2013
Narino,CHACHAGUI,2013,393.0,301.0,760.0,2013
Narino,POLICARPA,2013,370.0,206.0,560.0,2013
Narino,YACUANQUER,2013,263.0,241.0,920.0,2013
